1770404411.7829545,DOGEUSDT,MAIN
1770404565.2215755,DOGEUSDT,MAIN
1770405577.056434,DOGEUSDT,MAIN_ASYNC
1770408337.0631495,DOGEUSDT,BENCHMARK
1770408667.1515648,DOGEUSDT,BENCHMARK
1770411276.462843,BTCUSDT,CASH
1770413158.9498775,BTCUSDT,CASH
1770414389.262232,XRPUSDT,MAIN
1770414389.4109638,BTCUSDT,CASH
1770414389.5876944,SOLUSDT,KELVIN
1770414805.5932333,XRPUSDT,MAIN
1770414805.7373033,BTCUSDT,CASH
1770414805.8791,SOLUSDT,KELVIN
1770414841.3976603,XRPUSDT,MAIN
1770414841.5824845,BTCUSDT,CASH
1770414841.7483096,SOLUSDT,KELVIN
1770415363.6343591,XRPUSDT,MAIN
1770415364.2833824,BTCUSDT,CASH
1770415364.4350357,SOLUSDT,KELVIN
1770415911.8821514,XRPUSDT,MAIN
1770415912.5137584,BTCUSDT,CASH
1770415912.645945,SOLUSDT,KELVIN
1770416545.2514932,XRPUSDT,MAIN
1770416545.9014504,BTCUSDT,CASH
1770416546.0635846,SOLUSDT,KELVIN
1770417314.4536963,XRPUSDT,MAIN
1770417315.5968645,BTCUSDT,CASH
1770417315.7479682,SOLUSDT,KELVIN
1770445506.2784696,LAUSDT,MAIN
1770470479.7251403,LAUSDT,MAIN
1770471217.4050894,LAUSDT,MAIN
